address,area,community,floor,houseType,houseUrl,price,regional,shopping,time,towards
丰台青塔春园,65㎡,春园,高楼层（24层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2336205827478142976.html,4500,丰台,青塔,2天前维护,东南
丰台丰台其它东山坡三里,104㎡,东山坡三里,中楼层（6层）,2室2厅1卫,https://bj.lianjia.com/zufang/BJ2387425734516801536.html,3700,丰台,丰台其它,3天前维护,南 北
大兴大兴其它金色漫香郡南区,90㎡,金色漫香郡南区,中楼层（9层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2412887022932074496.html,3200,大兴,大兴其它,10天前维护,南 北
丰台青塔青塔芳园,65㎡,青塔芳园,高楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2462265248783548416.html,4200,丰台,青塔,3天前维护,南 北
顺义李桥樱花园六区,93㎡,樱花园六区,高楼层（6层）,2室2厅1卫,https://bj.lianjia.com/zufang/BJ2413019295216320512.html,3200,顺义,李桥,5天前维护,南 北
亦庄开发区亦庄开发区其它南海雅苑南区,76㎡,南海雅苑南区,低楼层（10层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2419460527446032384.html,3900,亦庄开发区,亦庄开发区其它,9天前维护,西
顺义马坡泰和谊园,92㎡,泰和谊园,高楼层（6层）,3室1厅1卫,https://bj.lianjia.com/zufang/BJ2329432369276395520.html,2900,顺义,马坡,3天前维护,南 北
大兴天宫院南一品嘉园,88㎡,一品嘉园,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2408660125783949312.html,3200,大兴,天宫院南,5天前维护,南 北
顺义顺义城仓上小区,64㎡,仓上小区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2425083813522063360.html,2800,顺义,顺义城,3天前维护,南 北
海淀海淀北部新区万和嘉园二区,68㎡,万和嘉园二区,中楼层（16层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2420853453070016512.html,5800,海淀,海淀北部新区,2天前维护,南
大兴大兴其它联港嘉园C区,89㎡,联港嘉园C区,高楼层（11层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2407190727160774656.html,3100,大兴,大兴其它,1天前维护,南 北
通州潞苑中建雅颂居,90㎡,中建雅颂居,中楼层（22层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2424509743067570176.html,3600,通州,潞苑,3天前维护,南
顺义顺义城石园南区,85㎡,石园南区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2388333521765662720.html,3300,顺义,顺义城,7天前维护,南 北
顺义顺义城港馨家园东区,74㎡,港馨家园东区,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2339054599635476480.html,2500,顺义,顺义城,3天前维护,南 北
通州武夷花园京贸国际城西区,92㎡,京贸国际城西区,中楼层（36层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2353358370914189312.html,3600,通州,武夷花园,1天前维护,南
大兴大兴其它敬贤里,56㎡,敬贤里,中楼层（4层）,2室0厅1卫,https://bj.lianjia.com/zufang/BJ2403354067352436736.html,2800,大兴,大兴其它,1天前维护,南 北
顺义顺义城裕龙四区,71㎡,裕龙四区,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2399933847816118272.html,3300,顺义,顺义城,3天前维护,南 北
顺义顺义城滨河小区,74㎡,滨河小区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2423787339668537344.html,2900,顺义,顺义城,2天前维护,南 北
丰台花乡天伦锦城,59㎡,天伦锦城,中楼层（20层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2433150946130534400.html,4500,丰台,花乡,1天前维护,西 北
通州马驹桥东亚瑞晶苑,79㎡,东亚瑞晶苑,中楼层（22层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2435409094375374848.html,3500,通州,马驹桥,1天前维护,南
大兴大兴其它金色漫香郡北区,85㎡,金色漫香郡北区,低楼层（8层）,2室2厅1卫,https://bj.lianjia.com/zufang/BJ2462345290842652672.html,3400,大兴,大兴其它,1天前维护,南
朝阳双桥温泉北里,77㎡,温泉北里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2423069795462692864.html,4200,朝阳,双桥,1天前维护,南 北
通州潞苑新潮嘉园一期,94㎡,新潮嘉园一期,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2435486463882690560.html,3600,通州,潞苑,1天前维护,南 北
朝阳首都机场南平里,56㎡,南平里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2460738984994160640.html,4200,朝阳,首都机场,1天前维护,南 北
顺义顺义城仁和花园一区,89㎡,仁和花园一区,低楼层（21层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2332321404219039744.html,3100,顺义,顺义城,1天前维护,南 北
昌平昌平其它宜山居,82㎡,宜山居,高楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2399189299003400192.html,3500,昌平,昌平其它,1天前维护,南 北
顺义顺义城港馨家园东区,95㎡,港馨家园东区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2299292450998992896.html,2800,顺义,顺义城,2天前维护,南 北
通州马驹桥东亚瑞晶苑,78㎡,东亚瑞晶苑,中楼层（20层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2426579692766371840.html,3600,通州,马驹桥,1天前维护,南
房山良乡行宫园三里,71㎡,行宫园三里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2427313505587183616.html,2500,房山,良乡,今天维护,南
顺义顺义城港馨家园东区,99㎡,港馨家园东区,低楼层（10层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2414514221346988032.html,1800,顺义,顺义城,今天维护,南 北
房山良乡行宫园二里,79㎡,行宫园二里,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2333063997638844416.html,2500,房山,良乡,今天维护,东 西
顺义顺义城石园北区,84㎡,石园北区,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2361372670652071936.html,3200,顺义,顺义城,今天维护,南 北
大兴观音寺观音寺小区,71㎡,观音寺小区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2386790724734550016.html,2700,大兴,观音寺,今天维护,南 北
顺义顺义城滨河小区,76㎡,滨河小区,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2303307137000423424.html,3100,顺义,顺义城,今天维护,南 北
海淀西山双新园,88㎡,双新园,高楼层（4层）,3室2厅2卫,https://bj.lianjia.com/zufang/BJ2410755501429637120.html,7200,海淀,西山,今天维护,南 北
通州潞苑新潮嘉园一期,94㎡,新潮嘉园一期,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2396131820929826816.html,3600,通州,潞苑,今天维护,南 北
顺义顺义城石园北区,70㎡,石园北区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2385484729224282112.html,3000,顺义,顺义城,今天维护,南 北
石景山苹果园模式口北里,71㎡,模式口北里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2338371287887650816.html,3900,石景山,苹果园,今天维护,南 北
顺义顺义城石园东苑,83㎡,石园东苑,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2404069061564055552.html,3100,顺义,顺义城,今天维护,南 北
顺义顺义城石园南区,79㎡,石园南区,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2436071053039247360.html,3200,顺义,顺义城,今天维护,西南
顺义顺义其它顺和花园,80㎡,顺和花园,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2433234077009592320.html,3000,顺义,顺义其它,今天维护,南 北
顺义顺义城石园东区,59㎡,石园东区,高楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2394907001206882304.html,2600,顺义,顺义城,今天维护,南 北
顺义李桥樱花园一区,78㎡,樱花园一区,高楼层（7层）,3室1厅1卫,https://bj.lianjia.com/zufang/BJ2398559275829444608.html,2800,顺义,李桥,今天维护,南 北
东城永定门永定门外大街,54㎡,永定门外大街,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2465833498066288640.html,5800,东城,永定门,1天前维护,东 西
西城右安门内信建里小区,55㎡,信建里小区,高楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2468163975054376960.html,6000,西城,右安门内,5天前维护,南 北
朝阳东坝康静里,58㎡,康静里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2468753044037443584.html,3900,朝阳,东坝,今天维护,南 北
海淀清河宝盛北里,67㎡,宝盛北里,中楼层（9层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2460647512668127232.html,5800,海淀,清河,12天前维护,南 北
海淀清河清缘里中区,70㎡,清缘里中区,中楼层（10层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2357114898519441408.html,6000,海淀,清河,16天前维护,东 西
丰台宋家庄德福缘,79㎡,德福缘,低楼层（23层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2408035371393744896.html,4500,丰台,宋家庄,14天前维护,东
房山城关中国铁建原香漫谷,87㎡,中国铁建原香漫谷,高楼层（19层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2457141794761351168.html,2400,房山,城关,14天前维护,南
朝阳管庄瑞祥里,81㎡,瑞祥里,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2397696121855016960.html,4800,朝阳,管庄,14天前维护,南 北
东城朝阳门内仓南胡同14号院,42㎡,仓南胡同14号院,地下室（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2392592196907048960.html,5500,东城,朝阳门内,12天前维护,西南
海淀定慧寺八里庄北里,57㎡,八里庄北里,高楼层（6层）,2室1厅2卫,https://bj.lianjia.com/zufang/BJ2420754616871829504.html,6000,海淀,定慧寺,14天前维护,南 北
石景山苹果园海特花园小区,74㎡,海特花园小区,高楼层（7层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2371481886112620544.html,4000,石景山,苹果园,13天前维护,南 北
通州梨园云景西里南区,79㎡,云景西里南区,高楼层（6层）,2室2厅1卫,https://bj.lianjia.com/zufang/BJ2435524212534804480.html,3600,通州,梨园,12天前维护,南 北
东城崇文门草厂头条7号院,42㎡,草厂头条7号院,高楼层（3层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2396272840769798144.html,3800,东城,崇文门,15天前维护,南
朝阳亚运村安慧里二区,45㎡,安慧里二区,低楼层（25层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2426643672470142976.html,5500,朝阳,亚运村,12天前维护,南
朝阳酒仙桥芳园里,55㎡,芳园里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2388270505217236992.html,6000,朝阳,酒仙桥,14天前维护,东南 西北
丰台青塔大瓦窑绿洲家园,66㎡,大瓦窑绿洲家园,高楼层（28层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2331917198731247616.html,4000,丰台,青塔,14天前维护,南
朝阳四惠八里庄东里北巷,57㎡,八里庄东里北巷,中楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2403494711886626816.html,5200,朝阳,四惠,12天前维护,南 北
朝阳常营柏林爱乐二期,58㎡,柏林爱乐二期,中楼层（21层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2463682111165702144.html,5500,朝阳,常营,7天前维护,西北
丰台赵公口苗圃东里,60㎡,苗圃东里,高楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2451565921928478720.html,4600,丰台,赵公口,6天前维护,南 北
大兴大兴其它红星养鸡场宿舍楼,72㎡,红星养鸡场宿舍楼,中楼层（6层）,3室1厅1卫,https://bj.lianjia.com/zufang/BJ2373768845920829440.html,2500,大兴,大兴其它,6天前维护,南 北
朝阳安贞安华西里社区,49㎡,安华西里社区,高楼层（11层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2429514729434390528.html,5500,朝阳,安贞,6天前维护,西
丰台新宫南庭新苑北区,59㎡,南庭新苑北区,高楼层（16层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2459933377835302912.html,4700,丰台,新宫,11天前维护,南
西城陶然亭永内西街北里,55㎡,永内西街北里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2410049236705222656.html,4500,西城,陶然亭,6天前维护,东 西
石景山古城古城南路,18㎡,古城南路,高楼层（5层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2412142833756028928.html,2200,石景山,古城,5天前维护,东
朝阳朝阳门外芳草地西街,46㎡,芳草地西街,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2418816460995698688.html,6000,朝阳,朝阳门外,5天前维护,南 北
朝阳芍药居芍药居北里,70㎡,芍药居北里,地下室（7层）,3室0厅1卫,https://bj.lianjia.com/zufang/BJ2399984601688195072.html,6000,朝阳,芍药居,5天前维护,南 北
朝阳团结湖水碓子社区,64㎡,水碓子社区,高楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2433487667531890688.html,6000,朝阳,团结湖,5天前维护,南 北
丰台卢沟桥卢沟桥北里,65㎡,卢沟桥北里,高楼层（5层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2274510552061984768.html,3500,丰台,卢沟桥,5天前维护,南 北
东城永定门管村26号院,68㎡,管村26号院,地下室（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2401183464843395072.html,4500,东城,永定门,5天前维护,南 北
房山良乡旭辉E天地,36㎡,旭辉E天地,低楼层（14层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2410649035380621312.html,2400,房山,良乡,5天前维护,南
海淀公主坟万寿路12号院,44㎡,万寿路12号院,地下室（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2394930645865603072.html,4200,海淀,公主坟,5天前维护,东
西城月坛洪茂沟社区,54㎡,洪茂沟社区,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2420990550917251072.html,6000,西城,月坛,5天前维护,东 西
亦庄开发区亦庄星岛嘉园,136㎡,星岛嘉园,高楼层（6层）,1室0厅1卫,https://bj.lianjia.com/zufang/BJ2261365244201287680.html,4000,亦庄开发区,亦庄,5天前维护,南
海淀清河怡清园,80㎡,怡清园,地下室（6层）,1室0厅1卫,https://bj.lianjia.com/zufang/BJ2425359604730314752.html,4600,海淀,清河,5天前维护,南 北
丰台七里庄东大街西里,64㎡,东大街西里,高楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2391161777334796288.html,4500,丰台,七里庄,5天前维护,南 北
朝阳惠新西街小关北里,46㎡,小关北里,高楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2454904307330859008.html,5700,朝阳,惠新西街,5天前维护,南
朝阳安贞皇姑坟小区,38㎡,皇姑坟小区,地下室（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2405063037087662080.html,4800,朝阳,安贞,5天前维护,南
朝阳甘露园康家园,70㎡,康家园,中楼层（16层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2412216665535422464.html,6000,朝阳,甘露园,5天前维护,南
朝阳双井黄木厂6号院,56㎡,黄木厂6号院,高楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2426746112724434944.html,5200,朝阳,双井,5天前维护,西
丰台看丹桥南开西里,54㎡,南开西里,高楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2366695008368590848.html,3800,丰台,看丹桥,5天前维护,南 北
朝阳甘露园甘露园西里,41㎡,甘露园西里,中楼层（6层）,1室1厅1卫,https://bj.lianjia.com/zufang/BJ2394823194088579072.html,4300,朝阳,甘露园,5天前维护,南
朝阳朝阳门外东大桥路,60㎡,东大桥路,低楼层（16层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2397692949048860672.html,6000,朝阳,朝阳门外,5天前维护,东南
朝阳豆各庄富力又一城C区,89㎡,富力又一城C区,低楼层（22层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2424588028535652352.html,5800,朝阳,豆各庄,5天前维护,南
丰台和义东高地,45㎡,东高地,中楼层（6层）,2室1厅1卫,https://bj.lianjia.com/zufang/BJ2386146667846959104.html,3400,丰台,和义,6天前维护,南 北
